zone,station_id,name,latitude,longitude,address,neighborhood,postal_code,capacity,bikes_available,bikes_unavailable,docks_available,docks_unavailable
Zapopan,131,(ZPN-037) Av. San Ignacio / Av. Guadalupe,20.6668782,-103.4031329,(ZPN-037) Av. San Ignacio / Av. Guadalupe,Chapalita Oriente,45040,11,5,0,6,0
Zapopan,132,(ZPN-038) C. Santa Rita / Av. Guadalupe,20.66581,-103.40662,(ZPN-038) C. Santa Rita / Av. Guadalupe *,Chapalita Oriente,45040,11,0,0,11,0
Zapopan,133,(ZPN-039) Av. Niño Obrero / C. Juan Diego,20.66312806,-103.4079076,(ZPN-039) Av. Niño Obrero / C. Juan Diego,Chapalita Oriente,45040,19,7,1,11,0
Zapopan,134,(ZPN-040) C. Santa María / C. Árbol,20.66033761,-103.4037559,(ZPN-040) C. Santa María / C. Árbol *,Chapalita Sur,45046,15,0,0,15,0
Zapopan,135,(ZPN-041) C. 12 de Diciembre / C. Juan Diego,20.66463,-103.404,(ZPN-041) C. 12 de Diciembre / C. Juan Diego,Chapalita Oriente,45040,11,2,0,9,0
Zapopan,136,(ZPN-042) C. Tonatiuh / Av. Netzahualcóyotl,20.65925105,-103.4065612,(ZPN-042) C. Tonatiuh / Av. Netzahualcóyotl,Ciudad Del Sol,45050,15,6,0,9,0
Zapopan,137,(ZPN-043) C. Ermita / C. Del Árbol,20.65938,-103.40195,(ZPN-043) C. Ermita / C. Del Árbol,Chapalita Sur,45046,11,0,0,11,0
Zapopan,139,(ZPN-045) Av. Tizoc / C. Iztaccíhuatl,20.65701,-103.40464,(ZPN-045) Av. Tizoc / C. Iztaccíhuatl,Ciudad Del Sol,45050,15,12,0,3,0
Zapopan,140,(ZPN-046) Av. Cubilete / Av. López Mateos,20.656866,-103.397725,(ZPN-046) Av. Cubilete / Av. López Mateos,Jardines de Plaza Del Sol,44510,19,0,0,19,0
Zapopan,141,(ZPN-047) Av. Tizoc / Av. López Mateos,20.65381,-103.40134,(ZPN-047) Av. Tizoc / Av. López Mateos,Ciudad Del Sol,45050,15,15,0,0,0
Tlaquepaque,142,(TLQ-001) BlvrdGarcía Barragán/C. Río Tajo,20.64483,-103.31948,(TLQ-001) Blvr. García Barragán / C. Río Tajo*,Lomas Del Paradero,44840,19,19,0,0,0
Tlaquepaque,143,(TLQ-002) C. Juárez / Av. Niños Héroes,20.6383352,-103.3163317,(TLQ-002) C. Juárez / Av. Niños Héroes,Tlaquepaque Centro,45500,15,3,0,12,0
Tlaquepaque,144,(TLQ-003) C. Contreras Medellín/Donato Guerra,20.64193,-103.31366,(TLQ-003) C. Contreras Medellín / C. Donato Guerra *,Tlaquepaque Centro,45500,15,1,1,13,0
Tlaquepaque,145,(TLQ-004) C. Donato Guerra / C. Obregón,20.64185,-103.3106,(TLQ-004) C. Donato Guerra / C. Obregón*,Tlaquepaque Centro,45500,15,7,0,8,0
Tlaquepaque,146,(TLQ-005) C. Zalatitán / C. Jalisco,20.64188,-103.30651,(TLQ-005) C. Zalatitán / C. Jalisco *,Tlaquepaque Centro,45500,15,5,0,10,0
Tlaquepaque,148,(TLQ-007) Blvrd.García Barragán/Donato Guerra,20.64176,-103.31716,(TLQ-007) Blvr. García Barragán / C. Donato Guerra,Tlaquepaque Centro,45500,15,3,0,12,0
Tlaquepaque,149,(TLQ-008) C. Juárez / C. Francisco de Miranda,20.63841,-103.31334,(TLQ-008) C. Juárez / C. Francisco de Miranda,Tlaquepaque Centro,45500,15,3,0,12,0
Tlaquepaque,150,(TLQ-009) C. Progreso / C. Juárez,20.63816,-103.31148,(TLQ-009) C. Progreso / C. Juárez,Tlaquepaque Centro,45500,15,5,0,10,0
Tlaquepaque,151,(TLQ-010) C. Zaragoza / C. Emilio Carranza,20.63834,-103.30952,(TLQ-010) C. Zaragoza / C. Emilio Carranza *,Tlaquepaque Centro,45500,15,3,0,12,0
Tlaquepaque,152,(TLQ-011) C. Jalisco / C. Hidalgo,20.63922,-103.30465,(TLQ-011) C. Jalisco / C. Hidalgo*,Tlaquepaque Centro,45500,15,9,3,3,0
Tlaquepaque,153,(TLQ-012) C. Paseo Don Bosco / C. Tonalá,20.63613,-103.3019,(TLQ-012) C. Paseo Don Bosco / C. Tonalá *,Tlaquepaque Centro,45500,15,9,0,6,0
Tlaquepaque,251,(TLQ-006) C. Miguel Hidalgo / Calz. Revolució,20.639042,-103.301239,(TLQ-006) C. Miguel Hidalgo / Av. Francisco Silva Romero,Tlaquepaque Pueblito,45500,15,13,0,2,0
